USN,SEMESTER,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS,SUBJECT CODE,SUBJECT NAME,"IAT1
",IAT2,IA FINAL MARKS
1CR23IS119,6,BCS602,Machine Learning,48,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,44,,,BET654A,TRES(OE),49,,
1CR23IS120,6,BCS602,Machine Learning,41,,,BIS601,Full Stack Development,47,,,BIS613D ,CCS,44,,,BET654A,TRES(OE),48,,
1CR23IS121,6,BCS602,Machine Learning,44,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,37,,,BET654A,TRES(OE),48,,
1CR23IS122,6,BCS602,Machine Learning,25,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),30,,
1CR23IS123,6,BCS602,Machine Learning,47,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),50,,
1CR23IS124,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),50,,
1CR23IS125,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,47,,,BET654A,TRES(OE),50,,
1CR23IS126,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,39,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),49,,
1CR23IS127,6,BCS602,Machine Learning,35,,,BIS601,Full Stack Development,46,,,BIS613D ,CCS,31,,,BET654A,TRES(OE),50,,
1CR23IS128,6,BCS602,Machine Learning,23,,,BIS601,Full Stack Development,43,,,BIS613D ,CCS,28,,,BET654A,TRES(OE),40,,
1CR23IS129,6,BCS602,Machine Learning,30,,,BIS601,Full Stack Development,40,,,BIS613D ,CCS,35,,,BET654A,TRES(OE),45,,
1CR23IS130,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,41,,,BET654A,TRES(OE),50,,
1CR23IS131,6,BCS602,Machine Learning,23,,,BIS601,Full Stack Development,39,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),40,,
1CR23IS132,6,BCS602,Machine Learning,37,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,40,,,BET654A,TRES(OE),50,,
1CR23IS133,6,BCS602,Machine Learning,46,,,BIS601,Full Stack Development,49,,,BIS613D ,CCS,45,,,BET654A,TRES(OE),50,,
1CR23IS207,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,36,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),40,,
1CR24IS401,6,BCS602,Machine Learning,32,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,39,,,BET654A,TRES(OE),28,,
1CR24IS403,6,BCS602,Machine Learning,36,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,32,,,BET654A,TRES(OE),41,,
1CR24IS405,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),0,,
1CR24IS406,6,BCS602,Machine Learning,28,,,BIS601,Full Stack Development,32,,,BIS613D ,CCS,31,,,BET654A,TRES(OE),43,,
1CR24IS407,6,BCS602,Machine Learning,0,,,BIS601,Full Stack Development,AB,,,BIS613D ,CCS,0,,,BET654A,TRES(OE),34,,
1CR24IS415,6,BCS602,Machine Learning,20,,,BIS601,Full Stack Development,28,,,BIS613D ,CCS,29,,,BET654A,TRES(OE),44,,
1CR23IS135,6,BCS602,Machine Learning,49,,,BIS601,Full Stack Development,48,,,BIS613D ,CCS,33,,,BET654A,TRES(OE),50,,
1CR23IS136,6,BCS602,Machine Learning,50,,,BIS601,Full Stack Development,44,,,BIS613D ,CCS,34,,,BET654A,TRES(OE),45,,
